"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2016-Q2","Q2-2016","1","RATIOS","0","Units",,,85.5842128505613,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2016-Q3","Q3-2016","1","RATIOS","0","Units",,,86.8715981665343,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2016-Q4","Q4-2016","1","RATIOS","0","Units",,,87.0179058100553,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2017-Q1","Q1-2017","1","RATIOS","0","Units",,,86.3868118835446,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2017-Q2","Q2-2017","1","RATIOS","0","Units",,,86.8556515409818,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2017-Q3","Q3-2017","1","RATIOS","0","Units",,,87.7215088388503,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2017-Q4","Q4-2017","1","RATIOS","0","Units",,,88.5541321448324,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2018-Q1","Q1-2018","1","RATIOS","0","Units",,,88.5224544195176,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2018-Q2","Q2-2018","1","RATIOS","0","Units",,,88.661676378474,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2018-Q3","Q3-2018","1","RATIOS","0","Units",,,89.8463191359006,,
"DEU","Germany","HPI_YDH_AVG","Standardised price-income ratio","2018-Q4","Q4-2018","1","RATIOS","0","Units",,,89.5721297603825,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2015-Q3","Q3-2015","1","RATIOS","0","Units",,,156.636543097756,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2015-Q4","Q4-2015","1","RATIOS","0","Units",,,160.796922249546,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q1","Q1-2016","1","RATIOS","0","Units",,,163.867913030826,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q2","Q2-2016","1","RATIOS","0","Units",,,163.687910779291,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q3","Q3-2016","1","RATIOS","0","Units",,,166.333546403664,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2016-Q4","Q4-2016","1","RATIOS","0","Units",,,169.913705209199,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2017-Q1","Q1-2017","1","RATIOS","0","Units",,,173.36127709187,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2017-Q2","Q2-2017","1","RATIOS","0","Units",,,176.288572337557,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2017-Q3","Q3-2017","1","RATIOS","0","Units",,,177.41865942654,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2017-Q4","Q4-2017","1","RATIOS","0","Units",,,173.592527452925,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2018-Q1","Q1-2018","1","RATIOS","0","Units",,,171.266391765393,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2018-Q2","Q2-2018","1","RATIOS","0","Units",,,171.549578256742,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2018-Q3","Q3-2018","1","RATIOS","0","Units",,,172.034663302731,,
"SWE","Sweden","HPI_RPI_AVG","Standardised price-rent ratio","2018-Q4","Q4-2018","1","RATIOS","0","Units",,,172.767195113974,,
"BEL","Belgium","RPI","Rent prices, s.a.","2015-Q3","Q3-2015","IDX","Index","0","Units",,,100.09707563569,,
"BEL","Belgium","RPI","Rent prices, s.a.","2015-Q4","Q4-2015","IDX","Index","0","Units",,,100.364005857161,,
"BEL","Belgium","RPI","Rent prices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,100.583866608321,,
"BEL","Belgium","RPI","Rent prices, s.a.","2016-Q2","Q2-2016","IDX","Index","0","Units",,,100.810739528927,,
"BEL","Belgium","RPI","Rent prices, s.a.","2016-Q3","Q3-2016","IDX","Index","0","Units",,,101.062286124241,,
"BEL","Belgium","RPI","Rent prices, s.a.","2016-Q4","Q4-2016","IDX","Index","0","Units",,,101.306638020775,,
"BEL","Belgium","RPI","Rent prices, s.a.","2017-Q1","Q1-2017","IDX","Index","0","Units",,,101.623099483014,,
"BEL","Belgium","RPI","Rent prices, s.a.","2017-Q2","Q2-2017","IDX","Index","0","Units",,,101.901649742412,,
"BEL","Belgium","RPI","Rent prices, s.a.","2017-Q3","Q3-2017","IDX","Index","0","Units",,,102.153788484263,,
"BEL","Belgium","RPI","Rent prices, s.a.","2017-Q4","Q4-2017","IDX","Index","0","Units",,,102.443292899448,,
"BEL","Belgium","RPI","Rent prices, s.a.","2018-Q1","Q1-2018","IDX","Index","0","Units",,,102.695469509796,,
"BEL","Belgium","RPI","Rent prices, s.a.","2018-Q2","Q2-2018","IDX","Index","0","Units",,,102.958490650219,,
"BEL","Belgium","RPI","Rent prices, s.a.","2018-Q3","Q3-2018","IDX","Index","0","Units",,,103.220692698686,,
"BEL","Belgium","RPI","Rent prices, s.a.","2018-Q4","Q4-2018","IDX","Index","0","Units",,,103.44707806618,,
"BEL","Belgium","RPI","Rent prices, s.a.","2019-Q1","Q1-2019","IDX","Index","0","Units",,,103.722261854098,,
"BEL","Belgium","RPI","Rent prices, s.a.","2019-Q2","Q2-2019","IDX","Index","0","Units",,,103.96702839031,,
"PRT","Portugal","RHP","Real house price indices, s.a.","2015-Q3","Q3-2015","IDX","Index","0","Units",,,100.321038126021,,
"PRT","Portugal","RHP","Real house price indices, s.a.","2015-Q4","Q4-2015","IDX","Index","0","Units",,,101.680872985673,,
"PRT","Portugal","RHP","Real house price indices, s.a.","2016-Q1","Q1-2016","IDX","Index","0","Units",,,103.522334142448,,
